GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
movie-ticket-booking-system Maven Webapp,com.user.dao,UserDao,328,0,20,0,100,0,19,0,9,0
movie-ticket-booking-system Maven Webapp,com.movie.dao,MovieDao,505,0,12,0,119,0,14,0,8,0
movie-ticket-booking-system Maven Webapp,com.util,DatabaseConnection,47,0,6,0,14,0,6,0,3,0
movie-ticket-booking-system Maven Webapp,com.filter,UserAuthenticationFilter,34,0,6,0,9,0,5,0,2,0
movie-ticket-booking-system Maven Webapp,com.filter,AdminFilter,57,0,10,0,17,0,9,0,4,0
movie-ticket-booking-system Maven Webapp,com.showtime.model,Showtime,171,0,0,0,54,0,27,0,27,0
movie-ticket-booking-system Maven Webapp,com.theatre.model,Theatre,81,0,0,0,23,0,15,0,15,0
movie-ticket-booking-system Maven Webapp,com.booking.dao,BookingDao,577,0,34,0,135,0,30,0,13,0
movie-ticket-booking-system Maven Webapp,com.showtime.dao,ShowtimeDao,382,0,18,0,93,0,18,0,9,0
movie-ticket-booking-system Maven Webapp,com.controller,GenerateTicketServlet,120,0,4,0,27,0,4,0,2,0
movie-ticket-booking-system Maven Webapp,com.controller,ProcessPaymentServlet,228,0,26,0,49,0,16,0,3,0
movie-ticket-booking-system Maven Webapp,com.controller,MovieServlet,99,0,4,0,26,0,5,0,3,0
movie-ticket-booking-system Maven Webapp,com.controller,ShowtimeServlet,373,0,43,0,99,0,37,0,13,0
movie-ticket-booking-system Maven Webapp,com.controller,AdminServlet,958,0,56,0,264,0,53,0,20,0
movie-ticket-booking-system Maven Webapp,com.controller,PaymentServlet,134,0,2,0,31,0,4,0,3,0
movie-ticket-booking-system Maven Webapp,com.controller,Userservlet,380,0,48,0,97,0,31,0,7,0
movie-ticket-booking-system Maven Webapp,com.booking.servlet,ProcessBookingServlet,189,0,6,0,44,0,6,0,3,0
movie-ticket-booking-system Maven Webapp,com.booking.servlet,BookingServlet,178,0,14,0,58,0,10,0,3,0
movie-ticket-booking-system Maven Webapp,com.booking.servlet,MyBookingsServlet,60,0,2,0,18,0,3,0,2,0
movie-ticket-booking-system Maven Webapp,com.theatre.dao,TheatreDao,252,0,20,0,63,0,18,0,8,0
movie-ticket-booking-system Maven Webapp,com.movie.model,Movie,152,0,2,0,50,0,27,0,26,0
movie-ticket-booking-system Maven Webapp,com.user.model,User,130,0,2,0,42,0,25,0,24,0
movie-ticket-booking-system Maven Webapp,com.booking.model,Booking,160,0,0,0,43,0,29,0,29,0
